business_id,company_name,business_ref_code,account_manager,business_group,business_unit,account_motion
129340,KEAWORLD PTE. LTD. [HR],SGKPB2,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
72736,KINETIC INNOVATION PTE. LTD.,SGKNEN,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
125582,KINGMIDAS CAPITAL PTE. LTD,SGKNSG,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
135091,KINGYU MANAGEMENT PTE. LTD.,SGKNMV,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
123666,KURU LABS PTE. LTD.(USD),SGKURL,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
126609,"Lenskart Solutions (Thailand) Co., Ltd.",SGLSXJ,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
57068,LENSKART SOLUTIONS PTE. LTD.,SGLESB,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
177631,LETSVIBE PTE LTD (DBS USD),SGLP7S,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
128829,LINDER INTERNATION PTE. LTD.,SGLNDN,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
138762,LINKLOG SUPPLY CHAIN PTE. LTD.,SGLSZM,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
139091,LMF DIGITAL PTE. LTD.,SGLMFD,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
84694,LOVE IN THE HAIR PTE. LTD.,SGLVTX,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
84720,LOVEBONITO HOLDINGS PTE LTD HKD,SGLVHB,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
84345,LOVEBONITO HOLDINGS PTE LTD USD,SGLVHX,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
89934,LUCYTECH SG PTE LTD,SGLPVZ,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
